time,distance_to_coast,lon,lat,satellite,swh_adjusted,swh_denoised,swh_uncertainty,ww3_hs
1996-01-07 08:03:39.794889,11000.0,-164.701651,67.659268,8,0.0882703145723702,,,0.009183572324167779
1996-01-07 08:03:40.775115,8000.0,-164.76554199999998,67.71298999999999,8,0.0882703145723702,,,0.009747311224352852
1996-01-07 08:03:41.755584,6000.0,-164.829723,67.76670399999999,8,0.0882703145723702,,,0.010450098261009604
1996-01-07 08:03:42.736052,3000.0,-164.89418,67.82039499999999,8,0.0882703145723702,,,0.009929236700286809
1996-01-07 08:03:43.716278,2000.0,-164.958898,67.87405,8,0.0882703145723702,,,0.006377188379245436
1996-01-17 23:05:56.829694,1000.0,-166.239829,68.81414099999999,8,0.0882703145723702,,,
1996-01-17 23:05:57.810163,4000.0,-166.309847,68.760909,8,0.0882703145723702,,,3.106587410779178e-05
1996-01-17 23:05:58.790633,7000.0,-166.379552,68.707651,8,0.0882703145723702,,,2.9912560414540228e-05
1996-01-17 23:05:59.770857,8000.0,-166.448927,68.654381,8,0.0882703145723702,,,2.734760072894099e-05
1996-01-17 23:06:00.751326,11000.0,-166.51801,68.601072,8,0.0882703145723702,,,2.5313938319801456e-05
1996-01-17 23:06:01.731795,12000.0,-166.586786,68.547738,8,0.0882703145723702,,,2.5933621967022455e-05
1996-01-26 08:06:38.207646,17000.0,-165.74712499999998,67.920337,8,0.0882703145723702,,,0.0028648247893264586
1996-01-26 08:06:39.188115,13000.0,-165.812414,67.973958,8,0.0882703145723702,,,0.0029152021952946407
1996-01-26 08:06:40.168340,9000.0,-165.87796699999998,68.027543,8,0.0882703145723702,,,0.002918755284064989
1996-01-26 08:06:42.129278,2000.0,-166.009967,68.134669,8,0.0882703145723702,,,0.001869445805373819
1996-01-26 08:06:48.011603,3000.0,-166.412936,68.455444,8,0.0882703145723702,,,0.002075968108795063
1996-01-26 08:06:48.992073,7000.0,-166.481146,68.508825,8,0.0882703145723702,,,0.0026622580725625044
1996-01-26 08:06:49.972297,11000.0,-166.549643,68.562168,8,0.0882703145723702,,,0.0024277914098054993
1996-01-26 08:06:50.952766,15000.0,-166.618463,68.615499,8,0.0882703145723702,,,0.0022089374997282412
1996-01-30 22:57:08.044435,1000.0,-163.07477,69.56200799999999,8,0.0882703145723702,,,
1996-01-30 22:57:09.024659,,-163.14942399999998,69.50917299999999,8,0.0882703145723702,,,0.0051528592703828265
1996-01-30 22:57:11.966066,6000.0,-163.37136999999998,69.350454,8,0.0882703145723702,,,0.007057550576965535
1996-01-30 22:57:12.946291,6000.0,-163.44465,69.297506,8,0.0882703145723702,,,0.007321867365667525
1996-01-30 22:57:15.887454,3000.0,-163.662514,69.138465,8,0.0882703145723702,,,0.0066130589426231555
1996-01-30 22:57:16.867923,2000.0,-163.734478,69.085392,8,0.0882703145723702,,,0.0044096864512082395
1996-02-04 08:23:15.899334,3000.0,-167.715623,65.811527,8,0.0882703145723702,,,0.00241316404569304
1996-02-04 08:23:16.879804,9000.0,-167.771222,65.865939,8,0.0882703145723702,,,0.0030181685698834845
1996-02-11 08:03:42.021004,12000.0,-164.674017,67.627701,8,0.0882703145723702,,,3.798066756461446e-05
1996-02-11 08:03:43.001473,9000.0,-164.737775,67.68145,8,0.0882703145723702,,,3.996059010130741e-05
1996-02-11 08:03:43.981699,7000.0,-164.80179099999998,67.73516099999999,8,0.0882703145723702,,,4.0352290303956725e-05
1996-02-11 08:03:44.962167,5000.0,-164.866097,67.788865,8,0.0882703145723702,,,4.1461966317632176e-05
1996-02-11 08:03:45.942636,2000.0,-164.93068,67.842546,8,0.0882703145723702,,,4.435951307871507e-05
1996-02-26 12:19:30.841177,4000.0,-163.502968,66.12758099999999,7,0.4268901572328837,,,0.0032268611975151563
1996-02-26 12:19:31.925517,4000.0,-163.36531000000002,66.12531,7,0.7777883281529352,,,0.003410276427532743
1996-02-26 12:19:33.009857,6000.0,-163.227679,66.122908,7,0.1748901445508421,,,0.0038697841970399736
1996-02-26 12:19:36.262873,2000.0,-162.814956,66.114918,7,0.1748901483712533,,,0.003169360120488164
1996-02-26 12:19:41.684555,2000.0,-162.127745,66.09899399999999,7,0.386890178312228,,,0.0037188092615625433
1996-02-29 11:31:25.090887,2000.0,-163.811543,66.14378599999999,7,0.7729685875952937,,,0.000459216467460044
1996-02-29 11:31:26.175240,7000.0,-163.673685,66.144499,7,0.4011911863339134,,,0.0008011642261897271
1996-02-29 11:31:27.259593,7000.0,-163.53582,66.14508099999999,7,0.2811911679378679,,,0.0008682423174373779
1996-02-29 11:31:28.343944,6000.0,-163.39795,66.145532,7,0.7361911674232146,,,0.001016415105302411
1996-02-29 11:31:29.428296,7000.0,-163.260075,66.14585199999999,7,0.1751911680112472,,,0.0011036580754018427
1996-02-29 11:31:30.512648,9000.0,-163.122197,66.146041,7,0.1751911692847333,,,0.0011899877294876996
1996-03-01 08:06:40.622892,11000.0,-165.839135,68.004614,8,0.0882703145723702,,,0.00172827142391393
1996-03-01 08:06:49.446625,5000.0,-166.440876,68.486038,8,0.0882703145723702,,,0.002866219153820485
1996-03-01 08:06:50.427094,8000.0,-166.50922599999998,68.53941,8,0.0882703145723702,,,0.0032050648373216973
1996-03-01 08:06:51.407319,13000.0,-166.57786199999998,68.592744,8,0.0882703145723702,,,0.003552003264474874
1996-03-01 08:06:52.387788,17000.0,-166.646822,68.646067,8,0.0882703145723702,,,0.0039010371296321926
1996-03-01 08:06:53.368257,20000.0,-166.716092,68.69936299999999,8,0.0882703145723702,,,0.004184346623504676
1996-03-02 08:06:39.946987,14000.0,-165.78563,67.964992,9,1.3979809867156052,,,0.0029583403118931444
1996-03-02 08:06:42.888150,2000.0,-165.982911,68.125736,9,0.7552036836314088,,,
1996-03-02 08:06:43.868375,1000.0,-166.04923499999998,68.179262,9,1.306320965321172,,,0.0017197814978831877
1996-03-02 08:06:51.711638,14000.0,-166.590563,68.606672,9,0.7724660479532283,,,0.0016239920005841114
1996-03-03 10:43:24.530619,2000.0,-163.45331900000002,66.10802199999999,7,0.1754921899259766,,,0.000957436490899941
1996-03-03 10:43:25.614966,3000.0,-163.31584600000002,66.11108399999999,7,0.1754921911994579,,,0.0013259511573291529
1996-03-03 10:43:27.783667,4000.0,-163.04080000000002,66.11681899999999,7,0.1754921937464254,,,0.001573311827144264
1996-03-03 10:43:28.868017,3000.0,-162.90323,66.11949,7,0.6834922224082435,,,0.0014020978379448267
1996-03-05 22:57:11.865084,7000.0,-163.406948,69.33746599999999,8,0.0882703145723702,,,6.434268019634833e-05
1996-03-05 22:57:12.845553,7000.0,-163.48011699999998,69.284488,8,0.0882703145723702,,,8.067405533293556e-05
1996-03-05 22:57:13.825777,6000.0,-163.552931,69.23149699999999,8,0.0882703145723702,,,8.866534352954442e-05
1996-03-05 22:57:14.806247,5000.0,-163.625428,69.17846399999999,8,0.0882703145723702,,,7.022117451741876e-05
1996-03-05 22:57:15.786716,3000.0,-163.69759399999998,69.125404,8,0.0882703145723702,,,6.0180281939561985e-05
1996-03-05 22:57:16.767185,2000.0,-163.769431,69.072317,8,0.0882703145723702,,,
1996-03-17 08:03:38.279147,12000.0,-164.648257,67.621912,8,0.0882703145723702,,,0.0001391780606920544
1996-03-17 08:03:39.259373,9000.0,-164.711941,67.675654,8,0.0882703145723702,,,0.00014323008853848893
1996-03-17 08:03:40.239841,7000.0,-164.775914,67.729387,8,0.0882703145723702,,,0.00014592335981614477
1996-03-17 08:03:41.220311,5000.0,-164.840159,67.783098,8,0.0882703145723702,,,0.00015234313905601582
1996-03-17 08:03:42.200535,2000.0,-164.904666,67.836772,8,0.0882703145723702,,,0.0001684414108970023
1996-03-27 06:15:03.594446,4000.0,-163.75637,66.13431,7,0.7713067784209737,,,0.004009075115172459
1996-03-27 06:15:04.678731,7000.0,-163.618657,66.13227599999999,7,0.7239085769076202,,,0.005692013829956201
1996-03-27 06:15:05.763015,5000.0,-163.48096700000002,66.130112,7,0.7599085915324669,,,0.006146783575142716
1996-03-27 06:15:06.847297,4000.0,-163.34330200000002,66.127817,7,0.8302639084902653,,,0.006506203141332984
1996-03-27 06:15:09.015860,6000.0,-163.06805300000002,66.122835,7,0.8128067571314438,,,0.007226107989999898
1996-03-27 06:15:10.100141,3000.0,-162.930472,66.120148,7,0.4759085873277566,,,0.006903131641062254
1996-03-27 23:05:55.913820,1000.0,-166.23607199999998,68.817942,8,0.0882703145723702,,,
1996-03-27 23:05:56.894289,4000.0,-166.3061,68.764709,8,0.0882703145723702,,,0.003131410163345835
1996-03-27 23:05:57.874513,7000.0,-166.375797,68.711463,8,0.0882703145723702,,,0.002755402577802376
1996-03-27 23:05:58.854982,8000.0,-166.445199,68.65817799999999,8,0.0882703145723702,,,0.0025136006118479286
1996-03-27 23:05:59.835451,11000.0,-166.514291,68.604869,8,0.0882703145723702,,,0.0022353651317718686
1996-03-27 23:06:00.815920,12000.0,-166.583076,68.55153299999999,8,0.0882703145723702,,,0.002124956800033478
1996-03-30 05:27:00.444152,5000.0,-163.724117,66.147745,7,0.7877095867265039,,,1.2984173199630198e-05
1996-03-30 05:27:01.528432,7000.0,-163.58624,66.148372,7,0.1782095858839405,,,1.411563430851458e-05
1996-03-30 05:27:02.612713,6000.0,-163.448358,66.14886899999999,7,0.9970136185808852,,,1.6463971497949024e-05
1996-03-30 05:27:03.696993,6000.0,-163.31047,66.14923499999999,7,0.1782095884307459,,,1.7115325043185525e-05
1996-03-30 05:27:04.781273,9000.0,-163.17258,66.14947,7,0.1992095912836705,,,1.6449768970131695e-05
1996-03-30 05:27:05.865553,6000.0,-163.03468700000002,66.149574,7,0.5187095992923969,,,1.6555258986793687e-05
1996-04-02 04:38:59.465939,3000.0,-163.42107800000002,66.113792,7,0.5060106378014501,,,0.0036932482514002943
1996-04-02 04:39:00.550208,4000.0,-163.283575,66.116824,7,0.17851061240176,,,0.003983194112912284
1996-04-02 04:39:02.718747,4000.0,-163.00847000000002,66.122495,7,1.0023147608129994,,,0.004215705079055084
1996-04-02 04:39:03.803019,4000.0,-162.87087200000002,66.125136,7,0.7684088492580488,,,0.0043124820118456385
1996-04-05 08:06:37.981414,19000.0,-165.731785,67.907581,8,0.0882703145723702,,,0.008877706304355047
1996-04-05 08:06:38.961883,14000.0,-165.797009,67.961208,8,0.0882703145723702,,,0.0074725850550309775
1996-04-05 08:06:49.108125,7000.0,-166.48894,68.514768,8,0.0882703145723702,,,0.0032197870890622047
1996-04-05 08:06:50.088593,12000.0,-166.557491,68.568122,8,0.0882703145723702,,,0.0033219590977142544
1996-04-05 08:06:51.068819,16000.0,-166.626333,68.621438,8,0.0882703145723702,,,0.0033870241849528154
1996-04-05 08:06:52.049287,19000.0,-166.695498,68.674741,8,0.0882703145723702,,,0.0033298012518767897
1996-04-06 04:13:37.057476,6000.0,-163.535606,66.13187599999999,7,0.178914703179452,,,0.0013178837400061613
1996-04-06 04:13:38.141724,4000.0,-163.397929,66.129635,7,0.3414147245693825,,,0.001418865083824147
1996-04-06 04:13:42.478702,3000.0,-162.847494,66.11936299999999,7,0.4069147357424967,,,0.0017024079881884232
1996-04-09 22:57:08.888897,1000.0,-163.10991,69.540027,8,0.0882703145723702,,,0.0
1996-04-09 22:57:12.810284,6000.0,-163.40588499999998,69.328429,8,0.0882703145723702,,,2.624653799490436e-05
1996-04-09 22:57:14.771222,6000.0,-163.551849,69.222448,8,0.0882703145723702,,,2.23194157024106e-05
1996-04-09 22:57:15.751691,4000.0,-163.624329,69.169417,8,0.0882703145723702,,,2.3185393885121875e-05
